Timestamp,Wind speed [m/s],Wind direction [deg],Ambient temperature [C],output power [kW],Status,State,Ice detected,IPS,ID
1.1.2003 0:00,9.7,42.1,-15.7,1387.0,OK,OK,NO,OFF,T3
1.1.2003 0:10,9.3,44.9,-15.6,990.0,OK,OK,NO,OFF,T3
1.1.2003 0:20,9.8,44.9,-15.3,1207.0,OK,OK,NO,OFF,T3
1.1.2003 0:30,9.8,45.8,-15.2,1097.0,OK,OK,NO,OFF,T3
1.1.2003 0:40,10.1,45.5,-14.9,1217.0,OK,OK,NO,OFF,T3
1.1.2003 0:50,9.9,43.4,-14.8,1153.0,OK,OK,NO,OFF,T3
1.1.2003 1:00,9.6,43.5,-14.6,989.0,OK,OK,NO,OFF,T3
1.1.2003 1:10,8.3,45.5,-14.5,722.0,OK,OK,NO,OFF,T3
1.1.2003 1:20,9.7,47.9,-14.2,1115.0,OK,OK,NO,OFF,T3
1.1.2003 1:30,9.7,48.9,-14.0,1182.0,OK,OK,NO,OFF,T3
1.1.2003 1:40,10.1,48.9,-13.8,1346.0,OK,OK,NO,OFF,T3
1.1.2003 1:50,10.2,50.8,-13.6,1375.0,OK,OK,NO,OFF,T3
1.1.2003 2:00,10.5,53.1,-13.5,1389.0,OK,OK,NO,OFF,T3
1.1.2003 2:10,10.3,52.7,-13.3,1300.0,OK,OK,NO,OFF,T3
1.1.2003 2:20,10.2,54.1,-13.2,1324.0,OK,OK,NO,OFF,T3
1.1.2003 2:30,10.1,54.5,-13.1,1411.0,OK,OK,NO,OFF,T3
1.1.2003 2:40,9.8,53.8,-12.9,1233.0,OK,OK,NO,OFF,T3
1.1.2003 2:50,10.4,54.4,-12.8,1541.0,OK,OK,NO,OFF,T3
1.1.2003 3:00,10.8,54.7,-12.6,1729.0,OK,OK,NO,OFF,T3
1.1.2003 3:10,10.3,53.2,-12.6,1296.0,OK,OK,NO,OFF,T3
1.1.2003 3:20,10.6,53.0,-12.5,1331.0,OK,OK,NO,OFF,T3
1.1.2003 3:30,10.5,53.4,-12.4,1335.0,OK,OK,NO,OFF,T3
1.1.2003 3:40,10.8,53.5,-12.3,1348.0,OK,OK,NO,OFF,T3
1.1.2003 3:50,11.1,54.7,-12.2,1290.0,OK,OK,NO,OFF,T3
1.1.2003 4:00,10.9,54.7,-12.1,1162.0,OK,OK,NO,OFF,T3
1.1.2003 4:10,10.7,55.4,-12.0,963.0,OK,OK,NO,OFF,T3
1.1.2003 4:20,10.5,56.8,-12.0,1150.0,OK,OK,NO,OFF,T3
1.1.2003 4:30,10.3,55.6,-11.9,1003.0,OK,OK,NO,OFF,T3
1.1.2003 4:40,10.3,57.1,-11.9,938.0,OK,OK,YES,OFF,T3
1.1.2003 4:50,10.1,58.7,-11.8,866.0,OK,OK,YES,OFF,T3
1.1.2003 5:00,10.3,61.1,-11.7,945.0,OK,OK,YES,OFF,T3
1.1.2003 5:10,10.2,61.1,-11.7,823.0,OK,OK,YES,OFF,T3
1.1.2003 5:20,10.2,64.9,-11.6,721.0,OK,OK,YES,OFF,T3
1.1.2003 5:30,10.5,67.6,-11.5,809.0,OK,OK,YES,OFF,T3
1.1.2003 5:40,9.9,69.0,-11.5,561.0,OK,OK,YES,OFF,T3
1.1.2003 5:50,9.6,75.2,-11.4,647.0,OK,OK,YES,OFF,T3
1.1.2003 6:00,9.6,75.0,-11.4,543.0,OK,OK,YES,OFF,T3
1.1.2003 6:10,8.3,69.3,-11.4,407.0,OK,OK,YES,OFF,T3
1.1.2003 6:20,8.7,73.5,-11.4,413.0,OK,OK,YES,OFF,T3
1.1.2003 6:30,8.5,72.4,-11.5,392.0,OK,OK,YES,OFF,T3
1.1.2003 6:40,8.2,71.2,-11.5,260.0,OK,OK,YES,OFF,T3
1.1.2003 6:50,7.5,75.2,-11.6,142.0,OK,OK,YES,OFF,T3
1.1.2003 7:00,7.4,72.3,-11.6,188.0,OK,OK,YES,OFF,T3
1.1.2003 7:10,6.8,69.3,-11.7,69.0,OK,OK,YES,OFF,T3
1.1.2003 7:20,6.3,66.7,-11.7,66.0,OK,OK,YES,OFF,T3
1.1.2003 7:30,6.0,64.5,-11.8,40.0,OK,OK,YES,OFF,T3
1.1.2003 7:40,6.5,65.0,-11.9,15.0,OK,OK,YES,OFF,T3
1.1.2003 7:50,6.8,70.2,-12.0,3.0,OK,OK,YES,OFF,T3
