timestamp,wind_speed,ambient_temperature,output_power,normal_operation,wind_direction,pressure,maintenance,faults,curtailment,other_manual,icing_codes,ice_detection,ips_status
2003-01-01 00:00:00,9.7,-15.7,1387,True,,,False,False,False,False,False,False,False
2003-01-01 00:10:00,9.3,-15.6,990,True,,,False,False,False,False,False,False,False
2003-01-01 00:20:00,9.8,-15.3,1207,True,,,False,False,False,False,False,False,False
2003-01-01 00:30:00,9.8,-15.2,1097,True,,,False,False,False,False,False,False,False
2003-01-01 00:40:00,10.1,-14.9,1217,True,,,False,False,False,False,False,False,False
2003-01-01 00:50:00,9.9,-14.8,1153,True,,,False,False,False,False,False,False,False
2003-01-01 01:00:00,9.6,-14.6,989,True,,,False,False,False,False,False,False,False
2003-01-01 01:10:00,8.3,-14.5,722,True,,,False,False,False,False,False,False,False
2003-01-01 01:20:00,9.7,-14.2,1115,True,,,False,False,False,False,False,False,False
2003-01-01 01:30:00,9.7,-14.0,1182,True,,,False,False,False,False,False,False,False
2003-01-01 01:40:00,10.1,-13.8,1346,True,,,False,False,False,False,False,False,False
2003-01-01 01:50:00,10.2,-13.6,1375,True,,,False,False,False,False,False,False,False
2003-01-01 02:00:00,10.5,-13.5,1389,True,,,False,False,False,False,False,False,False
2003-01-01 02:10:00,10.3,-13.3,1300,True,,,False,False,False,False,False,False,False
2003-01-01 02:20:00,10.2,-13.2,1324,True,,,False,False,False,False,False,False,False
2003-01-01 02:30:00,10.1,-13.1,1411,True,,,False,False,False,False,False,False,False
2003-01-01 02:40:00,9.8,-12.9,1233,True,,,False,False,False,False,False,False,False
2003-01-01 02:50:00,10.4,-12.8,1541,True,,,False,False,False,False,False,False,False
2003-01-01 03:00:00,10.8,-12.6,1729,True,,,False,False,False,False,False,False,False
2003-01-01 03:10:00,10.3,-12.6,1296,True,,,False,False,False,False,False,False,False
2003-01-01 03:20:00,10.6,-12.5,1331,True,,,False,False,False,False,False,False,False
2003-01-01 03:30:00,10.5,-12.4,1335,True,,,False,False,False,False,False,False,False
2003-01-01 03:40:00,10.8,-12.3,1348,True,,,False,False,False,False,False,False,False
2003-01-01 03:50:00,11.1,-12.2,1290,True,,,False,False,False,False,False,False,False
2003-01-01 04:00:00,10.9,-12.1,1162,True,,,False,False,False,False,False,False,False
2003-01-01 04:10:00,10.7,-12.0,963,True,,,False,False,False,False,False,False,False
2003-01-01 04:20:00,10.5,-12.0,1150,True,,,False,False,False,False,False,False,False
2003-01-01 04:30:00,10.3,-11.9,1003,True,,,False,False,False,False,False,False,False
2003-01-01 04:40:00,10.3,-11.9,938,True,,,False,False,False,False,False,False,False
2003-01-01 04:50:00,10.1,-11.8,866,True,,,False,False,False,False,False,False,False
2003-01-01 05:00:00,10.3,-11.7,945,True,,,False,False,False,False,False,False,False
2003-01-01 05:10:00,10.2,-11.7,823,True,,,False,False,False,False,False,False,False
2003-01-01 05:20:00,10.2,-11.6,721,True,,,False,False,False,False,False,False,False
2003-01-01 05:30:00,10.5,-11.5,809,True,,,False,False,False,False,False,False,False
2003-01-01 05:40:00,9.9,-11.5,561,True,,,False,False,False,False,False,False,False
2003-01-01 05:50:00,9.6,-11.4,647,True,,,False,False,False,False,False,False,False
2003-01-01 06:00:00,9.6,-11.4,543,True,,,False,False,False,False,False,False,False
2003-01-01 06:10:00,8.3,-11.4,407,True,,,False,False,False,False,False,False,False
2003-01-01 06:20:00,8.7,-11.4,413,True,,,False,False,False,False,False,False,False
2003-01-01 06:30:00,8.5,-11.5,392,True,,,False,False,False,False,False,False,False
2003-01-01 06:40:00,8.2,-11.5,260,True,,,False,False,False,False,False,False,False
2003-01-01 06:50:00,7.5,-11.6,142,True,,,False,False,False,False,False,False,False
2003-01-01 07:00:00,7.4,-11.6,188,True,,,False,False,False,False,False,False,False
2003-01-01 07:10:00,6.8,-11.7,69,True,,,False,False,False,False,False,False,False
2003-01-01 07:20:00,6.3,-11.7,66,True,,,False,False,False,False,False,False,False
2003-01-01 07:30:00,6.0,-11.8,40,True,,,False,False,False,False,False,False,False
2003-01-01 07:40:00,6.5,-11.9,15,True,,,False,False,False,False,False,False,False
2003-01-01 07:50:00,6.8,-12.0,3,True,,,False,False,False,False,False,False,False
2003-01-01 08:00:00,6.3,-12.1,0,True,,,False,False,False,False,False,False,False
2003-01-01 08:10:00,6.1,-12.1,0,True,,,False,False,False,False,False,False,False
2003-01-01 08:20:00,7.1,-11.7,0,True,,,False,False,False,False,False,False,False
2003-01-01 08:30:00,7.8,-11.7,0,True,,,False,False,False,False,False,False,False
2003-01-01 08:40:00,8.1,-11.7,0,True,,,False,False,False,False,False,False,False
2003-01-01 08:50:00,8.2,-11.7,0,True,,,False,False,False,False,False,False,False
2003-01-01 09:00:00,8.6,-11.8,0,True,,,False,False,False,False,False,False,False
2003-01-01 09:10:00,9.0,-11.7,0,True,,,False,False,False,False,False,False,False
2003-01-01 09:20:00,9.4,-11.6,0,True,,,False,False,False,False,False,False,False
2003-01-01 09:30:00,9.5,-11.6,0,True,,,False,False,False,False,False,False,False
2003-01-01 09:40:00,9.7,-11.6,0,True,,,False,False,False,False,False,False,False
2003-01-01 09:50:00,8.6,-11.6,0,True,,,False,False,False,False,False,False,False
2003-01-01 10:00:00,8.9,-11.7,0,True,,,False,False,False,False,False,False,False
2003-01-01 10:10:00,8.7,-11.7,0,True,,,False,False,False,False,False,False,False
2003-01-01 10:20:00,8.4,-11.7,0,True,,,False,False,False,False,False,False,False
2003-01-01 10:30:00,8.2,-11.7,0,True,,,False,False,False,False,False,False,False
2003-01-01 10:40:00,8.4,-11.7,0,True,,,False,False,False,False,False,False,False
2003-01-01 10:50:00,7.9,-11.7,0,True,,,False,False,False,False,False,False,False
2003-01-01 11:00:00,7.5,-11.7,0,True,,,False,False,False,False,False,False,False
2003-01-01 11:10:00,7.6,-11.7,0,True,,,False,False,False,False,False,False,False
2003-01-01 11:20:00,8.7,-11.6,0,True,,,False,False,False,False,False,False,False
2003-01-01 11:30:00,9.2,-11.6,0,True,,,False,False,False,False,False,False,False
2003-01-01 11:40:00,8.9,-11.7,0,True,,,False,False,False,False,False,False,False
2003-01-01 11:50:00,8.5,-11.7,0,True,,,False,False,False,False,False,False,False
2003-01-01 12:00:00,9.2,-11.6,0,True,,,False,False,False,False,False,False,False
2003-01-01 12:10:00,8.7,-11.5,0,True,,,False,False,False,False,False,False,False
2003-01-01 12:20:00,9.5,-11.5,0,True,,,False,False,False,False,False,False,False
2003-01-01 12:30:00,8.7,-11.5,0,True,,,False,False,False,False,False,False,False
2003-01-01 12:40:00,9.0,-11.5,0,True,,,False,False,False,False,False,False,False
2003-01-01 12:50:00,8.3,-11.5,0,True,,,False,False,False,False,False,False,False
2003-01-01 13:00:00,8.7,-11.5,0,True,,,False,False,False,False,False,False,False
2003-01-01 13:10:00,9.0,-11.5,0,True,,,False,False,False,False,False,False,False
2003-01-01 13:20:00,8.7,-11.5,0,True,,,False,False,False,False,False,False,False
2003-01-01 13:30:00,8.9,-11.5,0,True,,,False,False,False,False,False,False,False
2003-01-01 13:40:00,9.2,-11.5,0,True,,,False,False,False,False,False,False,False
2003-01-01 13:50:00,9.1,-11.5,0,True,,,False,False,False,False,False,False,False
2003-01-01 14:00:00,9.2,-11.5,0,True,,,False,False,False,False,False,False,False
2003-01-01 14:10:00,9.1,-11.4,0,True,,,False,False,False,False,False,False,False
2003-01-01 14:20:00,9.3,-11.4,0,True,,,False,False,False,False,False,False,False
2003-01-01 14:30:00,8.1,-11.4,0,True,,,False,False,False,False,False,False,False
2003-01-01 14:40:00,8.2,-11.3,0,True,,,False,False,False,False,False,False,False
2003-01-01 14:50:00,8.3,-11.3,0,True,,,False,False,False,False,False,False,False
2003-01-01 15:00:00,9.0,-11.2,0,True,,,False,False,False,False,False,False,False
2003-01-01 15:10:00,9.1,-11.2,0,True,,,False,False,False,False,False,False,False
2003-01-01 15:20:00,9.7,-11.2,0,True,,,False,False,False,False,False,False,False
2003-01-01 15:30:00,9.2,-11.1,0,True,,,False,False,False,False,False,False,False
2003-01-01 15:40:00,9.9,-11.1,0,True,,,False,False,False,False,False,False,False
2003-01-01 15:50:00,10.0,-11.0,0,True,,,False,False,False,False,False,False,False
2003-01-01 16:00:00,9.9,-11.0,0,True,,,False,False,False,False,False,False,False
2003-01-01 16:10:00,10.4,-11.0,0,True,,,False,False,False,False,False,False,False
2003-01-01 16:20:00,9.9,-11.1,0,True,,,False,False,False,False,False,False,False
2003-01-01 16:30:00,9.9,-11.1,0,True,,,False,False,False,False,False,False,False
2003-01-01 16:40:00,10.5,-11.1,0,True,,,False,False,False,False,False,False,False
2003-01-01 16:50:00,10.2,-11.1,0,True,,,False,False,False,False,False,False,False
2003-01-01 17:00:00,10.4,-11.1,0,True,,,False,False,False,False,False,False,False
2003-01-01 17:10:00,10.3,-11.0,0,True,,,False,False,False,False,False,False,False
2003-01-01 17:20:00,10.8,-11.0,0,True,,,False,False,False,False,False,False,False
2003-01-01 17:30:00,10.2,-11.1,0,True,,,False,False,False,False,False,False,False
2003-01-01 17:40:00,10.6,-11.0,0,True,,,False,False,False,False,False,False,False
2003-01-01 17:50:00,10.3,-11.0,0,True,,,False,False,False,False,False,False,False
2003-01-01 18:00:00,10.7,-10.9,0,True,,,False,False,False,False,False,False,False
2003-01-01 18:10:00,10.9,-10.9,0,True,,,False,False,False,False,False,False,False
2003-01-01 18:20:00,10.4,-10.8,0,True,,,False,False,False,False,False,False,False
2003-01-01 18:30:00,9.9,-10.8,0,True,,,False,False,False,False,False,False,False
2003-01-01 18:40:00,9.8,-10.7,0,True,,,False,False,False,False,False,False,False
2003-01-01 18:50:00,9.4,-10.7,0,True,,,False,False,False,False,False,False,False
2003-01-01 19:00:00,8.8,-10.7,0,True,,,False,False,False,False,False,False,False
2003-01-01 19:10:00,8.8,-10.7,0,True,,,False,False,False,False,False,False,False
2003-01-01 19:20:00,8.9,-10.6,0,True,,,False,False,False,False,False,False,False
2003-01-01 19:30:00,9.0,-10.5,0,True,,,False,False,False,False,False,False,False
2003-01-01 19:40:00,9.1,-10.5,0,True,,,False,False,False,False,False,False,False
2003-01-01 19:50:00,9.2,-10.5,0,True,,,False,False,False,False,False,False,False
2003-01-01 20:00:00,9.1,-10.4,0,True,,,False,False,False,False,False,False,False
2003-01-01 20:10:00,8.9,-10.4,0,True,,,False,False,False,False,False,False,False
2003-01-01 20:20:00,8.9,-10.4,0,True,,,False,False,False,False,False,False,False
2003-01-01 20:30:00,9.0,-10.4,0,True,,,False,False,False,False,False,False,False
2003-01-01 20:40:00,9.1,-10.4,0,True,,,False,False,False,False,False,False,False
2003-01-01 20:50:00,8.9,-10.4,0,True,,,False,False,False,False,False,False,False
2003-01-01 21:00:00,9.0,-10.4,0,True,,,False,False,False,False,False,False,False
2003-01-01 21:10:00,9.1,-10.3,0,True,,,False,False,False,False,False,False,False
2003-01-01 21:20:00,9.0,-10.4,0,True,,,False,False,False,False,False,False,False
2003-01-01 21:30:00,9.5,-10.3,0,True,,,False,False,False,False,False,False,False
2003-01-01 21:40:00,9.7,-10.3,0,True,,,False,False,False,False,False,False,False
2003-01-01 21:50:00,9.9,-10.3,0,True,,,False,False,False,False,False,False,False
2003-01-01 22:00:00,10.3,-10.3,0,True,,,False,False,False,False,False,False,False
2003-01-01 22:10:00,10.1,-10.3,0,True,,,False,False,False,False,False,False,False
2003-01-01 22:20:00,9.9,-10.3,0,True,,,False,False,False,False,False,False,False
2003-01-01 22:30:00,10.1,-10.3,0,True,,,False,False,False,False,False,False,False
2003-01-01 22:40:00,9.6,-10.3,0,True,,,False,False,False,False,False,False,False
2003-01-01 22:50:00,10.0,-10.3,0,True,,,False,False,False,False,False,False,False
2003-01-01 23:00:00,10.3,-10.4,0,True,,,False,False,False,False,False,False,False
2003-01-01 23:10:00,10.0,-10.4,0,True,,,False,False,False,False,False,False,False
2003-01-01 23:20:00,10.2,-10.3,0,True,,,False,False,False,False,False,False,False
2003-01-01 23:30:00,9.9,-10.4,0,True,,,False,False,False,False,False,False,False
2003-01-01 23:40:00,9.6,-10.3,0,True,,,False,False,False,False,False,False,False
2003-01-01 23:50:00,10.0,-10.3,0,True,,,False,False,False,False,False,False,False
2003-01-02 00:00:00,9.7,-10.3,0,True,,,False,False,False,False,False,False,False
2003-01-02 00:10:00,9.6,-10.3,0,True,,,False,False,False,False,False,False,False
2003-01-02 00:20:00,9.1,-10.3,0,True,,,False,False,False,False,False,False,False
2003-01-02 00:30:00,9.0,-10.4,0,True,,,False,False,False,False,False,False,False
